params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'fast_period': 25, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 25, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 80}",1.1450791361306676,0.1449241596754196,0.25696090987404796,-0.14000559526792666,1.0200253197146594,1.8353617180963777,3,0.0
"{'fast_period': 30, 'slow_period': 60}",0.9874580355768099,0.12056606294843442,0.21210477336742906,-0.14000390687410114,0.8814349002470718,1.514991817750949,4,0.3333333333333333
"{'fast_period': 30, 'slow_period': 40}",0.6502480158686388,0.07897660240467919,0.13706217436399726,-0.20376537991365196,0.6670247124755347,0.6726470140417328,6,0.4
"{'fast_period': 35, 'slow_period': 100}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 120}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 60}",1.4840425305517488,0.17743061000433857,0.3178547861778893,-0.13999928711278564,1.3449156959619377,2.2704028908505833,4,0.3333333333333333
"{'fast_period': 40, 'slow_period': 80}",0.5022548988219676,0.05460568123410958,0.09400171840897786,-0.1694098961912196,0.45495473690371485,0.5548773744768395,2,0.0
"{'fast_period': 40, 'slow_period': 100}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 120}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 40, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 60}",-0.29445079292259796,-0.05960897363894124,-0.0986441791191216,-0.25101950354411584,-0.27317027098132995,-0.39297416227175835,6,0.2
"{'fast_period': 45, 'slow_period': 80}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 100}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 120}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 45, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 60}",-0.436508078867366,-0.08463207489410574,-0.1388003813612706,-0.27642123113991157,-0.43522559268647004,-0.5021335763135224,6,0.4
"{'fast_period': 50, 'slow_period': 80}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 100}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 120}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 50, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 60}",1.0362436819398424,0.12268490425855272,0.21598023399371558,-0.1400076919757307,0.927680512251606,1.5426312007996972,4,0.3333333333333333
"{'fast_period': 30, 'slow_period': 80}",0.8803930744525107,0.11253681722244058,0.19746477178310928,-0.15539536855866576,0.8103690178191039,1.2707249489778791,4,0.3333333333333333
"{'fast_period': 30, 'slow_period': 100}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 30, 'slow_period': 120}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 30, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 30, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 30, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 30, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 35, 'slow_period': 40}",0.9194532087952292,0.11416930507178269,0.20043546040588267,-0.14715681846011497,0.8875833401845729,1.3620535052557434,8,0.5714285714285714
