params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'period': 15, 'overbought': 65, 'oversold': 20}",0.25349204143560156,0.015032017281244148,0.02553281889748571,-0.08636579429170899,0.2711072092912464,0.29563577926749673,11,0.45454545454545453
"{'period': 10, 'overbought': 70, 'oversold': 20}",0.22987557893353436,0.015105106691610137,0.025657607286780237,-0.14498875158299618,0.2961713644517024,0.1769627437070041,21,0.45
"{'period': 10, 'overbought': 70, 'oversold': 25}",0.18157739700835612,0.00862356082214033,0.014615524890399412,-0.22341517707009373,0.2449345881460054,0.06541867514136684,22,0.45454545454545453
"{'period': 15, 'overbought': 75, 'oversold': 15}",0.17002135821614958,0.008595530581492428,0.014567878042901938,-0.14569806872569768,0.21873689868464918,0.09998676146029457,9,0.5
"{'period': 10, 'overbought': 85, 'oversold': 20}",0.16605404989866554,0.007825105239227081,0.013258637943600826,-0.17127656856596152,0.1910690213771261,0.07741069344517315,11,0.5
"{'period': 15, 'overbought': 60, 'oversold': 20}",0.14089178475104924,0.005955324922907179,0.010084054153611799,-0.11436597805663451,0.16959578066963452,0.08817354885574566,11,0.4
"{'period': 10, 'overbought': 65, 'oversold': 25}",0.04845575109337619,-0.013633656332955213,-0.022929866666981713,-0.20553359300180318,0.060359950818503726,-0.11156262259659201,22,0.42857142857142855
"{'period': 10, 'overbought': 80, 'oversold': 20}",-0.07719634160201458,-0.012670712009217433,-0.021317462250665775,-0.07731588154454161,-0.05990647084533982,-0.2757190608812344,14,0.42857142857142855
"{'period': 10, 'overbought': 85, 'oversold': 15}",-0.24643218811411385,-0.03387445722636184,-0.056570406180309396,-0.14570444558197282,-0.2223721810695116,-0.3882544966583266,6,0.5
"{'period': 15, 'overbought': 80, 'oversold': 25}",-0.2804047104518393,-0.07790411443366918,-0.1280770574620651,-0.30100871023959896,-0.37613019973826417,-0.4254928615192479,6,0.5
"{'period': 15, 'overbought': 85, 'oversold': 25}",-0.2804047104518393,-0.07790411443366918,-0.1280770574620651,-0.30100871023959896,-0.37613019973826417,-0.4254928615192479,6,0.5
"{'period': 15, 'overbought': 70, 'oversold': 25}",-0.3869229058044514,-0.09185006636651394,-0.15024443493844641,-0.25505318576017943,-0.5020852761722784,-0.589070999017898,15,0.5
"{'period': 10, 'overbought': 80, 'oversold': 25}",-0.4151051666703348,-0.07410586102064065,-0.12199932771658906,-0.19143254211525018,-0.4319950341400481,-0.637296701848845,16,0.4666666666666667
"{'period': 15, 'overbought': 80, 'oversold': 20}",-0.48054926539666776,-0.05410274613014532,-0.08970790031918807,-0.14570444558197282,-0.4752706737524412,-0.6156840305103712,4,0.5
"{'period': 15, 'overbought': 85, 'oversold': 20}",-0.48054926539666776,-0.05410274613014532,-0.08970790031918807,-0.14570444558197282,-0.4752706737524412,-0.6156840305103712,4,0.5
"{'period': 10, 'overbought': 60, 'oversold': 30}",-0.5323443978681451,-0.10142596086704847,-0.16533032208576615,-0.30596817649035823,-0.6693169661521355,-0.5403513658910736,29,0.4482758620689655
"{'period': 10, 'overbought': 85, 'oversold': 25}",-0.6271648866507733,-0.10600229277613493,-0.1725008883596949,-0.21593324573775385,-0.7049987789273633,-0.7988621102337962,12,0.4166666666666667
"{'period': 15, 'overbought': 75, 'oversold': 20}",-0.6456081018365374,-0.06993880841831468,-0.11531165639232543,-0.14570444558197282,-0.7205421191664657,-0.7914079486850762,9,0.5555555555555556
"{'period': 10, 'overbought': 75, 'oversold': 20}",-0.7308185604383604,-0.07256016551914146,-0.11952106971146226,-0.09137591467612094,-0.6262178465434477,-1.3080150292897306,16,0.4666666666666667
"{'period': 15, 'overbought': 75, 'oversold': 25}",-0.7393658347252998,-0.14756686377086536,-0.23646528528699406,-0.2624807623933879,-0.9747467055160861,-0.9008861568780281,11,0.45454545454545453
"{'period': 10, 'overbought': 75, 'oversold': 25}",-0.8167118718634256,-0.13026877917366986,-0.21010024915483239,-0.19143254211525018,-0.9073440691441949,-1.0975158498827409,17,0.5294117647058824
"{'period': 10, 'overbought': 80, 'oversold': 15}",-0.8685979097850416,-0.05352224379250636,-0.0887636833364237,-0.08098541023936534,-0.42411186408143864,-1.0960453626655522,10,0.5555555555555556
"{'period': 15, 'overbought': 65, 'oversold': 25}",-0.8827676320284374,-0.1538340446518741,-0.24592714019297435,-0.2978602925011189,-0.9932151716902807,-0.8256459366501513,13,0.46153846153846156
"{'period': 15, 'overbought': 60, 'oversold': 25}",-0.9138314392949378,-0.1614006907576444,-0.2572865954890252,-0.31937879598510144,-1.0901554567664842,-0.8055844618470767,13,0.4166666666666667
"{'period': 10, 'overbought': 70, 'oversold': 30}",-0.9835296567711959,-0.16589385969766823,-0.2639986405041981,-0.32088644517912857,-1.2345367093006934,-0.8227167101334742,32,0.46875
"{'period': 15, 'overbought': 80, 'oversold': 30}",-0.9912696410571327,-0.19487608980796534,-0.30669323655870306,-0.3803745900198019,-1.3095440256794246,-0.8062926509963164,9,0.4444444444444444
"{'period': 15, 'overbought': 85, 'oversold': 30}",-0.9912696410571327,-0.19487608980796534,-0.30669323655870306,-0.3803745900198019,-1.3095440256794246,-0.8062926509963164,9,0.4444444444444444
"{'period': 10, 'overbought': 65, 'oversold': 30}",-1.0242358247487486,-0.1842994142019514,-0.29123315852006604,-0.32568529864800433,-1.2576643400996306,-0.8942164713269001,32,0.41935483870967744
"{'period': 10, 'overbought': 60, 'oversold': 40}",-1.0932664991091132,-0.19078460091878602,-0.30072915808877465,-0.3514142328722948,-1.045770662839154,-0.8557682926805663,26,0.24
"{'period': 15, 'overbought': 80, 'oversold': 35}",-1.0935052697982401,-0.18912078953511002,-0.2982978931117616,-0.3678009724827802,-1.2756816256690284,-0.8110307351776438,20,0.3157894736842105
"{'period': 15, 'overbought': 85, 'oversold': 35}",-1.0935052697982401,-0.18912078953511002,-0.2982978931117616,-0.3678009724827802,-1.2756816256690284,-0.8110307351776438,20,0.3157894736842105
"{'period': 15, 'overbought': 70, 'oversold': 30}",-1.1212160510482099,-0.2070427633427352,-0.3243049093314806,-0.34677032383747997,-1.4284693397054748,-0.9352152910393561,18,0.47058823529411764
"{'period': 15, 'overbought': 80, 'oversold': 40}",-1.1281402130044302,-0.17972060208685292,-0.2844971273803619,-0.3719992123965572,-1.121064044149777,-0.7647788433408923,18,0.17647058823529413
"{'period': 15, 'overbought': 85, 'oversold': 40}",-1.1281402130044302,-0.17972060208685292,-0.2844971273803619,-0.3719992123965572,-1.121064044149777,-0.7647788433408923,18,0.17647058823529413
"{'period': 15, 'overbought': 60, 'oversold': 30}",-1.2229366168710785,-0.22590097455800218,-0.3512360442115646,-0.3717221001310713,-1.64983779916593,-0.9448887867783938,16,0.3333333333333333
"{'period': 15, 'overbought': 70, 'oversold': 35}",-1.248330776524535,-0.2013712262347822,-0.316118185391834,-0.3262380121216175,-1.4098676830021126,-0.9689802342039439,28,0.4642857142857143
"{'period': 15, 'overbought': 65, 'oversold': 30}",-1.2490303189079497,-0.22661587233254832,-0.3522481709075067,-0.3582475596120731,-1.616668669026975,-0.9832535113119464,16,0.375
"{'period': 15, 'overbought': 70, 'oversold': 40}",-1.3026379650985278,-0.1921115600042843,-0.30266572356806776,-0.3307121057881923,-1.2503480231634863,-0.9151939655995323,26,0.38461538461538464
"{'period': 15, 'overbought': 60, 'oversold': 35}",-1.4341595082478473,-0.23118096418119827,-0.35869604283468215,-0.3466814145731254,-1.7273986036349145,-1.0346561071822975,25,0.4
"{'period': 15, 'overbought': 75, 'oversold': 30}",-1.4693029986909325,-0.25569706939347747,-0.39287125969263015,-0.34622116682525794,-1.9040302006749277,-1.1347407303116077,14,0.5714285714285714
"{'period': 15, 'overbought': 65, 'oversold': 35}",-1.4943587737927126,-0.2349709206023033,-0.3640290689021187,-0.35056193333169816,-1.733642742008689,-1.038415852635312,27,0.38461538461538464
"{'period': 15, 'overbought': 60, 'oversold': 40}",-1.4987229041776657,-0.22226668824629559,-0.3460807817034528,-0.35101975451794376,-1.5460817559243274,-0.9859296442695265,23,0.30434782608695654
"{'period': 10, 'overbought': 60, 'oversold': 35}",-1.5349001139781255,-0.2528311540165725,-0.38891568404590415,-0.41814940317975235,-1.8234875580889265,-0.9300878611531072,31,0.36666666666666664
"{'period': 10, 'overbought': 80, 'oversold': 30}",-1.5453433147091467,-0.23430727949677999,-0.36309654145735804,-0.2898882869362732,-1.634113985689905,-1.2525395396095405,26,0.48
"{'period': 10, 'overbought': 70, 'oversold': 40}",-1.5478417416057488,-0.2518539572004779,-0.3875645470829824,-0.3670047187623131,-1.4826997816408567,-1.056020610279904,30,0.3103448275862069
"{'period': 15, 'overbought': 65, 'oversold': 40}",-1.5676596458261927,-0.22610065764301712,-0.3515188133061695,-0.35487459633645424,-1.5537442327702855,-0.9905437496373983,25,0.2916666666666667
"{'period': 10, 'overbought': 75, 'oversold': 15}",-1.6148568378069863,-0.1109337236989899,-0.18019955768178897,-0.12804141323929974,-0.9386631875038616,-1.407353707858641,11,0.6363636363636364
"{'period': 15, 'overbought': 75, 'oversold': 35}",-1.638828338604456,-0.2503748588345711,-0.38551713109779884,-0.33295441723379704,-1.8583341871114045,-1.1578675973146584,25,0.375
"{'period': 10, 'overbought': 85, 'oversold': 30}",-1.7080315182591446,-0.2606848798908512,-0.39973047540611617,-0.31609366518471516,-1.9089755960742016,-1.2645950217715571,22,0.45454545454545453
"{'period': 15, 'overbought': 75, 'oversold': 40}",-1.72718728026602,-0.24168416223304712,-0.3734309137570505,-0.33738408090889105,-1.6562047906480235,-1.1068421270827349,23,0.4090909090909091
"{'period': 10, 'overbought': 65, 'oversold': 40}",-1.7387361246724715,-0.3109143208096996,-0.46701903530895084,-0.4303539655858659,-1.6032859563605184,-1.085197471512016,28,0.32142857142857145
"{'period': 5, 'overbought': 85, 'oversold': 15}",-1.8261308281351627,-0.266139353248957,-0.40719498477683436,-0.33601485623170924,-2.1030774198570255,-1.2118362543352568,22,0.2857142857142857
"{'period': 10, 'overbought': 75, 'oversold': 30}",-1.8857137000800797,-0.2807526945626939,-0.42700512756228903,-0.29980439423806005,-2.101326474043893,-1.4242790825248048,27,0.5185185185185185
"{'period': 10, 'overbought': 80, 'oversold': 40}",-1.907306848218224,-0.2884516002523395,-0.4373311357801515,-0.3379563925431781,-1.5952487912206084,-1.2940460527737376,24,0.3333333333333333
"{'period': 10, 'overbought': 65, 'oversold': 35}",-1.9327828557846551,-0.3217408484816484,-0.4810925663682546,-0.4393039245547524,-2.2891584299445453,-1.0951246721864736,33,0.45454545454545453
"{'period': 10, 'overbought': 85, 'oversold': 40}",-1.9336155395904162,-0.29488297167343847,-0.4458982361767194,-0.3456076204941534,-1.6145395475712498,-1.2901863550901147,21,0.3
"{'period': 10, 'overbought': 70, 'oversold': 35}",-1.9476236088795496,-0.30643653707296303,-0.4611534368509882,-0.43395066901217605,-2.3134057328194713,-1.062686313863129,34,0.48484848484848486
"{'period': 5, 'overbought': 65, 'oversold': 15}",-2.0310800100725865,-0.3086716480839664,-0.4640845593401539,-0.3664461114137213,-2.15796805277506,-1.2664469478192875,31,0.5
"{'period': 5, 'overbought': 70, 'oversold': 15}",-2.0592348936476035,-0.29641493815044173,-0.44793101939584,-0.3664461114137213,-2.1035601202147767,-1.222365323151489,31,0.4666666666666667
"{'period': 5, 'overbought': 85, 'oversold': 20}",-2.0733075592027705,-0.28855094566809625,-0.4374638796480289,-0.3497560927902611,-2.2839696442300808,-1.250768431674938,23,0.30434782608695654
"{'period': 5, 'overbought': 75, 'oversold': 15}",-2.0746861482674834,-0.2948969860170797,-0.44591684578486124,-0.33649637172032143,-2.35111669136213,-1.3251757916590094,30,0.3333333333333333
"{'period': 5, 'overbought': 80, 'oversold': 15}",-2.187036274467264,-0.2893908480014198,-0.43858563361544567,-0.3660882003920366,-2.267436451405328,-1.1980326957978242,26,0.5
"{'period': 10, 'overbought': 75, 'oversold': 40}",-2.2287174708972386,-0.3316127272695162,-0.493790825353576,-0.34931722680762145,-1.9768230004817466,-1.4135885305923377,26,0.36
"{'period': 5, 'overbought': 65, 'oversold': 20}",-2.262324656768593,-0.3297847436410589,-0.4914491719502625,-0.3832811067392994,-2.345537832908995,-1.2822160114574523,32,0.4375
"{'period': 5, 'overbought': 70, 'oversold': 20}",-2.3078881584131166,-0.3179023523468967,-0.47612045497114175,-0.3795575893405698,-2.295090380466593,-1.2544089970598056,32,0.46875
"{'period': 5, 'overbought': 75, 'oversold': 20}",-2.3273355812801544,-0.316430758312916,-0.4742091279594821,-0.350775139936644,-2.541843597566542,-1.3518892132581928,32,0.4838709677419355
"{'period': 5, 'overbought': 80, 'oversold': 20}",-2.464958225407944,-0.31109251106596125,-0.46725191027398394,-0.379207082139825,-2.444865094643546,-1.2321813918593802,28,0.5185185185185185
"{'period': 10, 'overbought': 80, 'oversold': 35}",-2.5076508527884576,-0.36587089631277137,-0.5368550608752818,-0.40998832453991396,-2.6153195714370145,-1.3094398760689998,28,0.4642857142857143
"{'period': 10, 'overbought': 85, 'oversold': 35}",-2.5270924779524973,-0.3716025089426177,-0.5439068269209201,-0.41680708054304627,-2.676494137188266,-1.3049366297047524,25,0.4583333333333333
"{'period': 5, 'overbought': 60, 'oversold': 15}",-2.5519085515783577,-0.36034956601785195,-0.5300203022344555,-0.42634062505991355,-2.797229131929322,-1.2431850756891203,30,0.5
"{'period': 5, 'overbought': 60, 'oversold': 20}",-2.753490553735605,-0.3774054944433618,-0.5510013455141594,-0.44163693804556825,-2.965699204970247,-1.247634194622794,31,0.4
"{'period': 10, 'overbought': 75, 'oversold': 35}",-2.810721297414712,-0.4043359210380596,-0.5833282552411021,-0.42011410060716703,-3.0752663753340608,-1.3884995871313315,30,0.4827586206896552
"{'period': 5, 'overbought': 85, 'oversold': 40}",-3.1404155772501543,-0.4146207403767418,-0.5954127834170153,-0.43438888717869006,-3.0674831939103964,-1.3706906437781097,38,0.3783783783783784
"{'period': 5, 'overbought': 85, 'oversold': 25}",-3.1525071400955427,-0.40173815995832396,-0.5802529839601833,-0.4129304384196555,-3.6791199602185314,-1.4052075845532128,26,0.5384615384615384
"{'period': 5, 'overbought': 65, 'oversold': 40}",-3.2221989857214095,-0.4930350222960155,-0.6827019644830076,-0.5360118332455994,-3.0802145465519555,-1.273669576190485,40,0.48717948717948717
"{'period': 5, 'overbought': 65, 'oversold': 25}",-3.2473263416095457,-0.4341506576527828,-0.6179588230785641,-0.47931656754501506,-3.5728240946427396,-1.2892498714235001,34,0.5294117647058824
"{'period': 5, 'overbought': 80, 'oversold': 40}",-3.2721985909810885,-0.4302804146971625,-0.6135328445559485,-0.4670754177358951,-3.2352260070872605,-1.3135626951424508,41,0.4634146341463415
"{'period': 5, 'overbought': 70, 'oversold': 25}",-3.3499954322303114,-0.42411859222974035,-0.6064433545110325,-0.4619170251203353,-3.545582549837767,-1.3128837464976448,34,0.5588235294117647
"{'period': 5, 'overbought': 75, 'oversold': 25}",-3.381580788985509,-0.4228761548061972,-0.6050074987799223,-0.45187242961600327,-3.8966120121376475,-1.3388900475606615,34,0.48484848484848486
"{'period': 5, 'overbought': 70, 'oversold': 40}",-3.3943624821124665,-0.4926363343971303,-0.6822801909089722,-0.5300417059473721,-3.1125367333126346,-1.287219822993921,41,0.475
